[ANCHOR_DEBUG] upd=280 n_upd=280 a0_mean=-0.5443 a0_std=0.3706 anchor=0.0118 | adv_BUY=-0.7315 adv_SELL=0.0056 adv_HOLD=0.1834 | v_BUY=-0.1878 v_SELL=-0.1703 | nB=76 nS=1820 nH=152
[ANCHOR_DEBUG] upd=284 n_upd=284 a0_mean=-0.5810 a0_std=0.3706 anchor=0.0131 | adv_BUY=-0.6430 adv_SELL=0.0296 adv_HOLD=-0.0622 | v_BUY=-0.1733 v_SELL=-0.2103 | nB=68 nS=1816 nH=164
[ANCHOR_DEBUG] upd=288 n_upd=288 a0_mean=-0.6107 a0_std=0.3705 anchor=0.0147 | adv_BUY=0.0115 adv_SELL=-0.0163 adv_HOLD=0.3846 | v_BUY=-0.1620 v_SELL=-0.1568 | nB=76 nS=1864 nH=108
[ANCHOR_DEBUG] upd=292 n_upd=292 a0_mean=-0.6466 a0_std=0.3705 anchor=0.0167 | adv_BUY=-1.5798 adv_SELL=0.0163 adv_HOLD=-0.0845 | v_BUY=-0.1076 v_SELL=-0.1255 | nB=28 nS=1916 nH=104
[ANCHOR_DEBUG] upd=296 n_upd=296 a0_mean=-0.7176 a0_std=0.3705 anchor=0.0199 | adv_BUY=-0.8419 adv_SELL=0.0159 adv_HOLD=-0.1620 | v_BUY=-0.0964 v_SELL=-0.1176 | nB=40 nS=1948 nH=60
[ANCHOR_DEBUG] upd=300 n_upd=300 a0_mean=-0.7697 a0_std=0.3705 anchor=0.0223 | adv_BUY=0.3347 adv_SELL=0.0075 adv_HOLD=-0.3605 | v_BUY=-0.0596 v_SELL=-0.0820 | nB=8 nS=1964 nH=76
[ANCHOR_DEBUG] upd=304 n_upd=304 a0_mean=-0.8283 a0_std=0.3706 anchor=0.0254 | adv_BUY=-1.5688 adv_SELL=0.0048 adv_HOLD=0.3203 | v_BUY=-0.1070 v_SELL=-0.1047 | nB=16 nS=1984 nH=48
[ANCHOR_DEBUG] upd=308 n_upd=308 a0_mean=-0.9007 a0_std=0.3706 anchor=0.0296 | adv_BUY=nan adv_SELL=0.0044 adv_HOLD=-0.5711 | v_BUY=nan v_SELL=-0.0959 | nB=0 nS=2032 nH=16
[ANCHOR_DEBUG] upd=312 n_upd=312 a0_mean=-0.8447 a0_std=0.3706 anchor=0.0260 | adv_BUY=-1.7292 adv_SELL=0.0002 adv_HOLD=0.2193 | v_BUY=-0.1263 v_SELL=-0.1303 | nB=4 nS=2016 nH=28
[ANCHOR_DEBUG] upd=316 n_upd=316 a0_mean=-0.8791 a0_std=0.3706 anchor=0.0282 | adv_BUY=-2.4682 adv_SELL=0.0088 adv_HOLD=0.1674 | v_BUY=-0.2051 v_SELL=-0.0801 | nB=8 nS=2020 nH=20
[ANCHOR_DEBUG] upd=320 n_upd=320 a0_mean=-0.9769 a0_std=0.3706 anchor=0.0348 | adv_BUY=0.3602 adv_SELL=0.0054 adv_HOLD=-0.6464 | v_BUY=-0.1746 v_SELL=-0.1311 | nB=4 nS=2028 nH=16
[ANCHOR_DEBUG] upd=324 n_upd=324 a0_mean=-1.0308 a0_std=0.3706 anchor=0.0383 | adv_BUY=nan adv_SELL=-0.0016 adv_HOLD=0.4344 | v_BUY=nan v_SELL=-0.1921 | nB=0 nS=2040 nH=8
[ANCHOR_DEBUG] upd=328 n_upd=328 a0_mean=-1.0657 a0_std=0.3707 anchor=0.0397 | adv_BUY=nan adv_SELL=-0.0026 adv_HOLD=0.3378 | v_BUY=nan v_SELL=-0.2747 | nB=0 nS=2032 nH=16
[ANCHOR_DEBUG] upd=332 n_upd=332 a0_mean=-1.1072 a0_std=0.3707 anchor=0.0435 | adv_BUY=-0.9656 adv_SELL=-0.0004 adv_HOLD=1.1581 | v_BUY=-0.3009 v_SELL=-0.3318 | nB=4 nS=2040 nH=4
[ANCHOR_DEBUG] upd=336 n_upd=336 a0_mean=-1.1445 a0_std=0.3708 anchor=0.0461 | adv_BUY=nan adv_SELL=-0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.3460 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=340 n_upd=340 a0_mean=-1.1806 a0_std=0.3708 anchor=0.0491 | adv_BUY=nan adv_SELL=-0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.4308 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=344 n_upd=344 a0_mean=-1.2435 a0_std=0.3708 anchor=0.0542 | adv_BUY=nan adv_SELL=0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.4785 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=348 n_upd=348 a0_mean=-1.2744 a0_std=0.3708 anchor=0.0567 | adv_BUY=nan adv_SELL=0.0005 adv_HOLD=-0.2569 | v_BUY=nan v_SELL=-0.5206 | nB=0 nS=2044 nH=4
[ANCHOR_DEBUG] upd=352 n_upd=352 a0_mean=-1.3199 a0_std=0.3708 anchor=0.0617 | adv_BUY=nan adv_SELL=0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.5501 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=356 n_upd=356 a0_mean=-1.3836 a0_std=0.3709 anchor=0.0668 | adv_BUY=nan adv_SELL=0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.5716 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=360 n_upd=360 a0_mean=-1.4392 a0_std=0.3709 anchor=0.0725 | adv_BUY=nan adv_SELL=-0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.6024 | nB=0 nS=2048 nH=0
[ANCHOR_DEBUG] upd=364 n_upd=364 a0_mean=-1.5124 a0_std=0.3709 anchor=0.0798 | adv_BUY=nan adv_SELL=0.0000 adv_HOLD=nan | v_BUY=nan v_SELL=-0.6279 | nB=0 nS=2048 nH=0
