2026-08-18 10:37:46,222 INFO [ACTION_DIFF] Step 800 | Requested=HOLD Executed=HOLD | inv_penalty=0.00000 | rejections={'fee_gate': 258, 'risk_gate': 0, 'cooldown_wait': 17, 'cooldown_hold_min': 5, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 20, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 800, 'deadband_reject': 157, 'routing_reject': 325, 'budget_reject': 20, 'barrier_reject': 258, 'portfolio_reject': 0, 'trade_executed': 22}
2026-08-18 10:37:55 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 850 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 264, 'risk_gate': 0, 'cooldown_wait': 20, 'cooldown_hold_min': 6, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 28, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 850, 'deadband_reject': 170, 'routing_reject': 342, 'budget_reject': 28, 'barrier_reject': 264, 'portfolio_reject': 0, 'trade_executed': 25}
2026-08-18 10:37:55,559 INFO [ACTION_DIFF] Step 850 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 264, 'risk_gate': 0, 'cooldown_wait': 20, 'cooldown_hold_min': 6, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 28, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 850, 'deadband_reject': 170, 'routing_reject': 342, 'budget_reject': 28, 'barrier_reject': 264, 'portfolio_reject': 0, 'trade_executed': 25}
2026-08-18 10:38:05 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 900 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 269, 'risk_gate': 0, 'cooldown_wait': 23, 'cooldown_hold_min': 6, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 37, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 900, 'deadband_reject': 185, 'routing_reject': 358, 'budget_reject': 37, 'barrier_reject': 269, 'portfolio_reject': 0, 'trade_executed': 29}
2026-08-18 10:38:05,709 INFO [ACTION_DIFF] Step 900 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 269, 'risk_gate': 0, 'cooldown_wait': 23, 'cooldown_hold_min': 6, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 37, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 900, 'deadband_reject': 185, 'routing_reject': 358, 'budget_reject': 37, 'barrier_reject': 269, 'portfolio_reject': 0, 'trade_executed': 29}
2026-08-18 10:38:17 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 950 | Requested=HOLD Executed=SELL | inv_penalty=0.00000 | rejections={'fee_gate': 269, 'risk_gate': 0, 'cooldown_wait': 26, 'cooldown_hold_min': 6, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 48, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 950, 'deadband_reject': 194, 'routing_reject': 383, 'budget_reject': 48, 'barrier_reject': 269, 'portfolio_reject': 0, 'trade_executed': 34}
2026-08-18 10:38:17,638 INFO [ACTION_DIFF] Step 950 | Requested=HOLD Executed=SELL | inv_penalty=0.00000 | rejections={'fee_gate': 269, 'risk_gate': 0, 'cooldown_wait': 26, 'cooldown_hold_min': 6, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 48, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 950, 'deadband_reject': 194, 'routing_reject': 383, 'budget_reject': 48, 'barrier_reject': 269, 'portfolio_reject': 0, 'trade_executed': 34}
2026-08-18 10:38:27 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 1000 | Requested=SELL Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 271, 'risk_gate': 0, 'cooldown_wait': 30, 'cooldown_hold_min': 7, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 63, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 1000, 'deadband_reject': 202, 'routing_reject': 401, 'budget_reject': 63, 'barrier_reject': 271, 'portfolio_reject': 0, 'trade_executed': 37}
2026-08-18 10:38:27,587 INFO [ACTION_DIFF] Step 1000 | Requested=SELL Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 271, 'risk_gate': 0, 'cooldown_wait': 30, 'cooldown_hold_min': 7, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 63, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 1000, 'deadband_reject': 202, 'routing_reject': 401, 'budget_reject': 63, 'barrier_reject': 271, 'portfolio_reject': 0, 'trade_executed': 37}
2026-08-18 10:38:39 - adan_trading_bot.environment.multi_asset_chunked_env - INFO - [ACTION_DIFF] Step 1050 | Requested=HOLD Executed=HOLD | inv_penalty=-0.01000 | rejections={'fee_gate': 271, 'risk_gate': 0, 'cooldown_wait': 32, 'cooldown_hold_min': 7, 'cooldown_omega4e': 0, 'min_notional': 0, 'hysteresis': 79, 'anti_spam_hold': 0, 'daily_limit': 0, 'pm_rejected': 0, 'sell_no_position': 0} | pipeline={'policy': 1050, 'deadband_reject': 211, 'routing_reject': 422, 'budget_reject': 79, 'barrier_reject': 271, 'portfolio_reject': 0, 'trade_executed': 41}
