2026-08-18 10:38:52 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1114 | chunk=0/1 | step_in_chunk=1164 | exec_src=open[t+1] | raw_exec_p=76925.56 | buy_price(+slip)=76940.95 | size=0.000200 | notional=$15.36 | capital_before=$19.03 | cash_after=$3.64 | exposure=80.70% | SL=0.60% TP=1.17% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:38:52,433 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1114 | chunk=0/1 | step_in_chunk=1164 | exec_src=open[t+1] | raw_exec_p=76925.56 | buy_price(+slip)=76940.95 | size=0.000200 | notional=$15.36 | capital_before=$19.03 | cash_after=$3.64 | exposure=80.70% | SL=0.60% TP=1.17% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:38:55 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1138 | chunk=0/1 | step_in_chunk=1188 | exec_src=open[t+1] | raw_exec_p=77216.83 | buy_price(+slip)=77232.27 | size=0.000187 | notional=$14.45 | capital_before=$19.02 | cash_after=$4.54 | exposure=75.95% | SL=0.88% TP=1.32% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:38:55,404 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1138 | chunk=0/1 | step_in_chunk=1188 | exec_src=open[t+1] | raw_exec_p=77216.83 | buy_price(+slip)=77232.27 | size=0.000187 | notional=$14.45 | capital_before=$19.02 | cash_after=$4.54 | exposure=75.95% | SL=0.88% TP=1.32% | tier=Micro Capital | TF=1h | profile=scalper
2026-08-18 10:38:59 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1164 | chunk=0/1 | step_in_chunk=1214 | exec_src=open[t+1] | raw_exec_p=77697.52 | buy_price(+slip)=77713.06 | size=0.000214 | notional=$16.61 | capital_before=$19.09 | cash_after=$2.44 | exposure=87.03% | SL=0.77% TP=1.15% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:38:59,021 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1164 | chunk=0/1 | step_in_chunk=1214 | exec_src=open[t+1] | raw_exec_p=77697.52 | buy_price(+slip)=77713.06 | size=0.000214 | notional=$16.61 | capital_before=$19.09 | cash_after=$2.44 | exposure=87.03% | SL=0.77% TP=1.15% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:39:37 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1351 | chunk=0/1 | step_in_chunk=1401 | exec_src=open[t+1] | raw_exec_p=77701.78 | buy_price(+slip)=77717.32 | size=0.000194 | notional=$15.06 | capital_before=$18.97 | cash_after=$3.88 | exposure=79.38% | SL=0.71% TP=1.44% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:39:37,398 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1351 | chunk=0/1 | step_in_chunk=1401 | exec_src=open[t+1] | raw_exec_p=77701.78 | buy_price(+slip)=77717.32 | size=0.000194 | notional=$15.06 | capital_before=$18.97 | cash_after=$3.88 | exposure=79.38% | SL=0.71% TP=1.44% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:40:28 - adan_trading_bot.environment.multi_asset_chunked_env - WARNING - [TRADE_AUDIT_OPEN] BTCUSDT | step=1652 | chunk=0/1 | step_in_chunk=1702 | exec_src=open[t+1] | raw_exec_p=73629.5 | buy_price(+slip)=73644.23 | size=0.000218 | notional=$16.08 | capital_before=$18.88 | cash_after=$2.77 | exposure=85.17% | SL=0.60% TP=1.79% | tier=Micro Capital | TF=4h | profile=scalper
2026-08-18 10:40:28,137 WARNING [TRADE_AUDIT_OPEN] BTCUSDT | step=1652 | chunk=0/1 | step_in_chunk=1702 | exec_src=open[t+1] | raw_exec_p=73629.5 | buy_price(+slip)=73644.23 | size=0.000218 | notional=$16.08 | capital_before=$18.88 | cash_after=$2.77 | exposure=85.17% | SL=0.60% TP=1.79% | tier=Micro Capital | TF=4h | profile=scalper
